setup	msprime_seed	slim_burnin_seed	slim_demography_seed	deviating_pop	opt_of_dev_pop	opt_of_p6	opt_of_UK	w	fitness_w_dev_pop	fitness_w_UK	h2	2lm	strong_frac	frac_h2									
264	1187113369	8510844667907804	4144343913067132	4	1	0.22	2	5	5	5	0.5	1	0.05	0.5									
265	1187113369	8510844667907804	5074173379689455	5	1	0	2	5	5	5	0.5	1	0.05	0.5									
266	1162971104	633611425291747	9.10605002194643E+015	-1	0	0	0	5	5	5	0.5	1	0.05	0.5									
267	1162971104	633611425291747	8046877256128937	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5									
268	1162971104	633611425291747	8880101684480906	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5									
269	1162971104	633611425291747	1009537980426103	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5									
270	1162971104	633611425291747	4928375906310976	-1	0	0	2	5	5	5	0.5	1	0.05	0.5									
271	1162971104	633611425291747	6905109544750303	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5									
272	1162971104	633611425291747	104680936783552	3	1	1	1	5	5	5	0.5	1	0.05	0.5									
273	1162971104	633611425291747	1238646074198186	4	1	1	1	5	5	5	0.5	1	0.05	0.5									
274	1162971104	633611425291747	1793749770149588	5	1	0	1	5	5	5	0.5	1	0.05	0.5									
275	1162971104	633611425291747	3414221184793860	3	1	0	0	5	5	5	0.5	1	0.05	0.5									
276	1162971104	633611425291747	6560506944078952	4	1	0	0	5	5	5	0.5	1	0.05	0.5									
277	1162971104	633611425291747	2219084571115672	5	1	0	0	5	5	5	0.5	1	0.05	0.5									
278	1162971104	633611425291747	1784443645738065	3	1	0.78	2	5	5	5	0.5	1	0.05	0.5									
279	1162971104	633611425291747	1803105701692402	4	1	0.22	2	5	5	5	0.5	1	0.05	0.5									
280	1162971104	633611425291747	3931512518320232	5	1	0	2	5	5	5	0.5	1	0.05	0.5									
281	2145218781	3886046060360968	8476282670162618	-1	0	0	0	5	5	5	0.5	1	0.05	0.5									
282	2145218781	3886046060360968	1322608445771038	3	1	0.78	0.42	5	5	5	0.5	1	0.05	0.5									
283	2145218781	3886046060360968	8626672881655395	4	1	0.22	0.12	5	5	5	0.5	1	0.05	0.5									
284	2145218781	3886046060360968	7038020489271730	5	1	0	0.46	5	5	5	0.5	1	0.05	0.5									
285	2145218781	3886046060360968	8322147328872234	-1	0	0	2	5	5	5	0.5	1	0.05	0.5									
286	2145218781	3886046060360968	4686941727995872	-1	0	2	0.88	5	5	5	0.5	1	0.05	0.5									
287	2145218781	3886046060360968	5118787067476660	3	1	1	1	5	5	5	0.5	1	0.05	0.5									
288	2145218781	3886046060360968	8041833010502160	4	1	1	1	5	5	5	0.5	1	0.05	0.5									
289	2145218781	3886046060360968	6715762780513614	5	1	0	1	5	5	5	0.5	1	0.05	0.5									
290	2145218781	3886046060360968	2171784227248281	3	1	0	0	5	5	5	0.5	1	0.05	0.5									
291	2145218781	3886046060360968	3184512620791793	4	1	0	0	5	5	5	0.5	1	0.05	0.5									
292	2145218781	3886046060360968	8217231668531895	5	1	0	0	5	5	5	0.5	1	0.05	0.5									
293	2145218781	3886046060360968	3262483731377870	3	1	0.78	2	5	5	5	0.5	1	0.05	0.5									
294	2145218781	3886046060360968	6284457878209651	4	1	0.22	2	5	5	5	0.5	1	0.05	0.5									
295	2145218781	3886046060360968	8251015637069941	5	1	0	2	5	5	5	0.5	1	0.05	0.5									
